"","tx","membership","pvalue"
"1","XM_005088768.2",0.444920435978159,8.01826253419127e-05
"2","XM_005088772.2",0.120706321373045,0.309039165204843
"3","XR_001184975.1",0.31583622135316,0.00648919193077727
"4","XM_005088773.2",0.0948919446815517,0.424540991054186
"5","XM_005088776.2",-0.229003513675942,0.0513170776229253
"6","XM_005088778.2",-0.190203074430413,0.107005835112435
"7","XM_005088780.2",0.401067200656564,0.000437389020283326
"8","XM_005088782.2",-0.34275381374909,0.00299331106649843
"9","XM_005088784.1",-0.511721861761335,3.70901727489717e-06
"10","XM_013090293.1",0.804692245371574,9.74594061534976e-18
"11","XM_005088786.2",-0.623296239861335,3.87514784067355e-09
"12","XM_005088788.2",-0.296175208650043,0.0109526644726853
"13","XM_005088789.2",0.128228444275595,0.279632448730643
"14","XM_005088796.2",0.516622063919857,2.88319361560781e-06
"15","XM_005088797.2",-0.461769420952411,3.9191015718543e-05
"16","XM_005088802.2",-0.722166174155024,5.5703133766846e-13
"17","XM_005088805.2",-0.072127580966927,0.544240887841708
"18","XM_005088804.2",0.695809307464897,8.33157248899795e-12
"19","XM_005088807.2",0.204021545078268,0.0833919253819084
"20","XM_005088808.2",-0.0797862593259471,0.50222109458542
"21","XM_005088812.2",0.400798891652487,0.000441644771544537
"22","XM_005088912.2",0.280641151340002,0.0161742618165796
"23","XM_013079980.1",0.480330021500994,1.70331262321318e-05
"24","XM_013080036.1",-0.469636591057196,2.769150520127e-05
"25","XM_013086846.1",0.530978584788507,1.3471168408455e-06
"26","XM_013085752.1",0.0392344563775964,0.741732106022373
"27","XM_005088814.1",-0.578519586742102,8.29476625325087e-08
"28","XM_005088821.2",0.363307631611779,0.00158189327689216
"29","XM_013080594.1",-0.364570469766396,0.00151900908290649
"30","XM_005088824.2",-0.311705927961506,0.00726415480490804
"31","XM_005088826.2",0.246911666833432,0.0352106148642771
"32","XM_005088825.2",-0.0600025005940368,0.614073136638235
"33","XM_005088828.2",0.520990540637652,2.29568844931111e-06
"34","XM_005088829.2",0.213928176110726,0.0691623970240831
"35","XM_005088830.2",-0.242793332699021,0.0384802516573536
"36","XM_005088832.2",-0.339873698431566,0.0032623104803502
"37","XM_005088923.2",0.626791410873443,2.98854122236442e-09
"38","XM_005088834.2",-0.445584200691067,7.80078404366133e-05
"39","XM_005088837.2",0.105049052804951,0.376426983050976
"40","XM_005088836.2",0.125094367236625,0.291650258588075
"41","XM_013081419.1",-0.587278554178109,4.72374725747842e-08
"42","XM_005088838.2",-0.733800730418193,1.52600614673579e-13
"43","XR_001184784.1",-0.0716498760118988,0.54691738048135
"44","XM_005088840.2",-0.411640801556762,0.000296695498967245
"45","XM_005088843.2",0.421157756406616,0.000206906339259754
"46","XM_005088846.2",-0.449486450855964,6.62874419364178e-05
"47","XM_013082193.1",0.33684201946171,0.00356855215488447
"48","XM_005088849.2",-0.161309510805281,0.172760068647149
"49","XM_005088851.2",0.000637585749672139,0.995728536968528
"50","XM_005088861.1",0.102509553633175,0.388136524460876
"51","XM_005088865.2",-0.280713220115467,0.0161457956967732
"52","NM_001204557.1",0.111339688726298,0.348353489884327
"53","XM_005088870.2",-0.0393627202632525,0.740917426331269
"54","XM_005088871.2",0.0415114508451109,0.727312474114689
"55","XM_005088872.2",0.327320546038526,0.00470342571927981
"56","XM_005088874.2",0.159927189216713,0.176518773596406
"57","XM_005088875.2",0.196865115461588,0.0950450714114361
"58","XM_013083474.1",-0.238085609002235,0.042523237414893
"59","XM_005088877.2",-0.167730420969172,0.156066607801199
"60","XM_013083673.1",0.508432203653113,4.38273957224066e-06
"61","XM_005088882.2",0.123382781911623,0.298354767682067
"62","XM_005088884.2",0.433003320471978,0.000130120895611054
"63","XM_005088887.2",-0.344732930238059,0.0028201253852346
"64","XM_013086454.1",-0.0521402512935202,0.661316910262062
"65","XM_013084103.1",0.295501420109729,0.011144208110519
"66","XM_005088889.2",0.0788030983358956,0.50751965378317
"67","XM_013084241.1",-0.412158942965964,0.00029100962848863
"68","XM_013084166.1",0.0981175474826649,0.408893251257984
"69","XM_005088891.2",0.192379235701089,0.102976907671368
"70","XR_220042.2",-0.183039832095786,0.121134891907958
"71","XM_013084720.1",0.351298421140268,0.00230789119146879
"72","XM_013084753.1",0.115127707238041,0.332094429694278
"73","XM_013084858.1",0.579314210605987,7.88708099615265e-08
"74","XM_005088899.1",0.293226361048657,0.0118126344498187
"75","XM_005088900.2",0.399952213167858,0.000455323447297757
"76","XM_013085062.1",-0.0739632195826276,0.534015826702775
"77","XM_005088902.2",-0.0486002345127448,0.683042390619684
"78","XM_005088956.2",0.11153231760937,0.347514926377942
"79","XM_013087107.1",0.31315580592317,0.00698332605531316
"80","XM_005088966.2",0.0764809883325978,0.520147309101712
"81","XM_005088967.2",-0.219900765377725,0.061573129635704
"82","XM_005088969.2",0.0786319493232793,0.508444955224883
"83","XM_013087724.1",0.0432801857610982,0.716176086348141
"84","XM_005088973.2",-0.419365617723444,0.000221618949261155
"85","XM_005088975.2",-0.529997534366508,1.42060474754506e-06
"86","XM_005088976.2",0.114864714337476,0.33320750127208
"87","XM_013088059.1",-0.294624222662753,0.0113979348858734
"88","XM_005088978.2",0.0859810907801419,0.46950521158426
"89","XM_005088979.2",0.398710233484614,0.000476089262790119
"90","XM_013088350.1",-0.0389595867400747,0.743478918673115
"91","XM_005088985.2",0.106648347761736,0.369163417692188
"92","XM_013088620.1",0.0149436948629177,0.900141778785745
"93","XM_005088994.2",0.281143544535697,0.0159767190526923
"94","XM_013089104.1",-0.088372799973464,0.45719003232474
"95","XM_005089000.2",-0.585640953167876,5.25473970344251e-08
"96","XM_013089234.1",0.223742301806465,0.0570587945571354
"97","XM_013089283.1",-0.0352385387858109,0.767250249758364
"98","XM_005089004.2",-0.262811232121601,0.0246815752210712
"99","XM_013089681.1",-0.362481804028113,0.00162427461721586
"100","XM_013089740.1",0.181564535687633,0.124214595371825
"101","XM_005089007.2",-0.690341494134262,1.40879035090814e-11
"102","XM_005089008.2",-0.537818885626032,9.25829882231492e-07
"103","XM_013090097.1",-0.659421494553527,2.24062833010582e-10
"104","XM_005089011.2",0.601524033600019,1.82306958523815e-08
"105","XM_005089013.2",-0.506276523255632,4.88470428225967e-06
"106","XM_013090483.1",0.0805361454662563,0.498199064850031
"107","XM_005089014.2",-0.600438220080822,1.96350551564526e-08
"108","XM_005089015.2",0.22429634934276,0.0564305339206525
"109","XM_005089016.2",-0.251368478016479,0.0319370386933985
"110","XM_013090838.1",-0.587257979492834,4.73009108016323e-08
"111","XM_005089019.2",-0.557238042239884,3.04814884621194e-07
"112","XM_013090771.1",0.00966415920513553,0.935324783977195
"113","XM_013090957.1",-0.291223384601333,0.0124296509125169
"114","XM_013090918.1",-0.340468675861687,0.00320503707295438
"115","XM_013090878.1",-0.473860201178769,2.28995673985234e-05
